scaffold	start	end	source	Name	BEEBASE	gene_biotype	DAVID_gene_name	High_A_outlier_North_America_FDR	High_A_outlier_South_America_FDR	Low_A_outlier_South_America_FDR	Low_A_outlier_North_America_FDR
NC_037648.1	14237792	14243265	Gnomon	LOC102656859	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14244284	14247060	Gnomon	LOC100578910	GB44950	protein_coding	uncharacterized LOC100578910(LOC100578910)	NA	NA	0.01	NA
NC_037648.1	14244592	14245126	Gnomon	LOC113219065	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14247573	14258092	Gnomon	LOC107965250	NA	protein_coding	NA	NA	NA	0.01	NA
NC_037648.1	14256702	14275861	Gnomon	LOC410261	GB44948	protein_coding	echinoderm microtubule-associated protein-like CG42247(LOC410261)	NA	NA	0.01	NA
NC_037648.1	14271479	14277309	Gnomon	LOC100577914	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14279519	14283426	Gnomon	LOC410262	GB44946	protein_coding	probable 28S rRNA (cytosine-C(5))-methyltransferase(LOC410262)	NA	NA	0.01	NA
NC_037648.1	14282097	14282630	Gnomon	LOC102653824	NA	protein_coding	NA	NA	NA	0.01	NA
NC_037648.1	14283796	14289254	Gnomon	LOC410263	GB45207	protein_coding	transmembrane GTPase Marf(LOC410263)	NA	NA	0.01	NA
NC_037648.1	14289743	14290688	Gnomon	LOC102654090	NA	protein_coding	NA	NA	NA	0.01	NA
NC_037648.1	14290722	14294418	Gnomon	LOC102654041	NA	protein_coding	NA	NA	NA	0.01	NA
NC_037648.1	14294705	14296033	Gnomon	LOC102653994	NA	protein_coding	NA	NA	NA	0.01	NA
NC_037648.1	14296159	14299225	Gnomon	LOC726506	GB44944	protein_coding	kinesin 14(LOC726506)	NA	NA	0.01	NA
NC_037648.1	14299546	14300758	Gnomon	LOC552295	GB45210	protein_coding	translocon-associated protein subunit gamma-like(LOC552295)	NA	NA	0.01	NA
NC_037648.1	14303380	14309559	BestRefSeq%2CGnomon	TpnCI	GB45211	NA	troponin C type I(TpnCI)	NA	NA	0.01	NA
NC_037648.1	14309645	14313490	Gnomon	LOC409152	GB44943	protein_coding	NCK-interacting protein with SH3 domain(LOC409152)	NA	NA	0.01	NA
NC_037648.1	14313638	14324369	Gnomon	LOC726875	NA	protein_coding	NA	NA	NA	0.01	NA
NC_037648.1	14323652	14330073	Gnomon	LOC726861	GB14259	protein_coding	myosuppressin(LOC726861)	NA	NA	0.01	NA
NC_037648.1	14331562	14337488	Gnomon	LOC413942	GB45213	protein_coding	acyl-CoA synthetase short-chain family member 3, mitochondrial(LOC413942)	NA	NA	0.01	NA
NC_037648.1	14337973	14342876	Gnomon	LOC413943	GB44941	protein_coding	eukaryotic peptide chain release factor GTP-binding subunit ERF3A(LOC413943)	NA	NA	0.01	NA
NC_037648.1	14343351	14347730	Gnomon	LOC413944	GB44940	protein_coding	exosome complex exonuclease RRP44(LOC413944)	NA	NA	0.01	NA
NC_037648.1	14348152	14356565	Gnomon	LOC413457	GB45214	protein_coding	zinc finger FYVE domain-containing protein 9(LOC413457)	NA	NA	0.01	NA
NC_037648.1	14358093	14360893	Gnomon	LOC726801	GB45215	protein_coding	peroxisomal N(1)-acetyl-spermine/spermidine oxidase(LOC726801)	NA	NA	0.01	NA
NC_037648.1	14363098	14374104	Gnomon	LOC409919	GB44939	protein_coding	excitatory amino acid transporter 1-like(LOC409919)	NA	NA	0.01	NA
NC_037648.1	14364761	14365397	Gnomon	LOC107965252	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14365528	14366168	Gnomon	LOC113219071	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14374447	14378919	Gnomon	LOC726781	GB44938	protein_coding	ubiquitin-like-conjugating enzyme ATG10(LOC726781)	NA	NA	0.01	NA
NC_037648.1	14374899	14375486	Gnomon	LOC113219129	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14377011	14398074	Gnomon	LOC551073	GB45216	protein_coding	single-stranded DNA-binding protein 3(LOC551073)	NA	NA	0.01	NA
NC_037648.1	14399986	14404363	Gnomon	LOC408317	GB45218	protein_coding	uncharacterized LOC408317(LOC408317)	NA	NA	0.01	NA
NC_037648.1	14403499	14405586	Gnomon	LOC113219128	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14406507	14414597	Gnomon	LOC411457	GB45220	protein_coding	galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase P(LOC411457)	NA	NA	0.01	NA
NC_037648.1	14417310	14420257	Gnomon	LOC409068	GB45221	protein_coding	annexin B11-like(LOC409068)	NA	NA	0.01	NA
NC_037648.1	14420634	14422542	Gnomon	LOC102655688	NA	protein_coding	NA	NA	NA	0.01	NA
NC_037648.1	14426718	14431303	Gnomon	LOC411458	GB44936	protein_coding	histone-arginine methyltransferase CARMER(LOC411458)	NA	NA	0.01	NA
NC_037648.1	14431862	14439350	Gnomon	LOC551987	GB45223	protein_coding	putative RNA-binding protein Luc7-like 2(LOC551987)	NA	NA	0.01	NA
NC_037648.1	14439729	14444382	Gnomon	LOC409070	GB44935	protein_coding	protein pellino(LOC409070)	NA	NA	0.01	NA
NC_037648.1	14446240	14453218	Gnomon	LOC409476	GB44934	protein_coding	nuclear cap-binding protein subunit 1(LOC409476)	NA	NA	0.01	NA
NC_037648.1	14447674	14449052	Gnomon	LOC100576153	GB45224	protein_coding	odorant receptor 13a-like(LOC100576153)	NA	NA	0.01	NA
NC_037648.1	14453381	14456666	Gnomon	LOC409475	GB45225	protein_coding	26S proteasome non-ATPase regulatory subunit 2(LOC409475)	NA	NA	0.01	NA
NC_037648.1	14457485	14462151	Gnomon	LOC412944	GB44933	protein_coding	VWFA and cache domain-containing protein 1(LOC412944)	NA	NA	0.01	NA
NC_037648.1	14462529	14464801	Gnomon	LOC413916	GB45227	protein_coding	transmembrane protein 64(LOC413916)	NA	NA	0.01	NA
NC_037648.1	14466094	14468277	Gnomon	LOC100576186	GB44932	protein_coding	alanine--glyoxylate aminotransferase 2, mitochondrial(LOC100576186)	NA	NA	0.01	NA
NC_037648.1	14468659	14470335	Gnomon	LOC726612	GB44931	protein_coding	evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial(LOC726612)	NA	NA	0.01	NA
NC_037648.1	14471045	14471848	Gnomon	LOC107965224	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14472318	14475344	Gnomon	LOC100579040	GB45228	protein_coding	chondroitin sulfate synthase 2(LOC100579040)	NA	NA	0.01	NA
NC_037648.1	14475633	14477823	Gnomon	LOC411433	GB44930	protein_coding	ell-associated factor Eaf(LOC411433)	NA	NA	0.01	NA
NC_037648.1	14478610	14480706	Gnomon	LOC726564	GB44929	protein_coding	uncharacterized LOC726564(LOC726564)	NA	NA	0.01	NA
NC_037648.1	14490242	14495252	Gnomon	LOC113219098	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14499153	14502255	Gnomon	LOC411552	GB10787	protein_coding	ceramide glucosyltransferase(LOC411552)	NA	NA	0.01	NA
NC_037648.1	14502704	14507031	Gnomon	LOC551734	GB44927	protein_coding	DNA excision repair protein haywire(LOC551734)	NA	NA	0.01	NA
NC_037648.1	14507498	14509625	Gnomon	LOC410264	GB44926	protein_coding	tRNA-dihydrouridine(20) synthase [NAD(P)+]-like(LOC410264)	NA	NA	0.01	NA
NC_037648.1	14509738	14515714	Gnomon	LOC100576185	GB45229	protein_coding	uncharacterized LOC100576185(LOC100576185)	NA	NA	0.01	NA
NC_037648.1	14515702	14518025	Gnomon	LOC100576286	GB44925	protein_coding	26S proteasome non-ATPase regulatory subunit 6 pseudogene(LOC100576286)	NA	NA	0.01	NA
NC_037648.1	14518145	14519986	Gnomon	LOC410266	GB45230	protein_coding	replication factor C subunit 5(LOC410266)	NA	NA	0.01	NA
NC_037648.1	14521082	14562543	Gnomon	LOC724460	GB45235	protein_coding	uncharacterized LOC724460(LOC724460)	NA	NA	0.01	NA
NC_037648.1	14527751	14540438	Gnomon	LOC102653678	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14563525	14566557	Gnomon	LOC724502	GB44918	protein_coding	transcription initiation factor TFIID subunit 5(LOC724502)	NA	NA	0.01	NA
NC_037648.1	14573307	14579693	Gnomon	LOC102654866	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14595938	14598314	Gnomon	LOC102654793	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14602989	14612564	Gnomon	LOC100576557	GB45239	protein_coding	uncharacterized LOC100576557(LOC100576557)	NA	NA	0.01	NA
NC_037648.1	14633534	14634986	Gnomon	LOC102654613	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14652629	14653762	Gnomon	LOC107965243	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14684216	14685772	Gnomon	LOC102654487	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14703391	14703512	BestRefSeq	Mir3764	NA	NA	NA	NA	NA	0.01	NA
NC_037648.1	14704437	14706839	Gnomon	LOC102654444	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14726243	14792698	Gnomon	LOC551501	GB44913	protein_coding	fringe glycosyltransferase(LOC551501)	NA	NA	0.01	NA
NC_037648.1	14738388	14744122	Gnomon	LOC102654947	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14763623	14766614	Gnomon	LOC107965256	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14784586	14785363	Gnomon	LOC113219075	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14793997	14802917	Gnomon	LOC408319	GB44912	protein_coding	lethal(3)malignant brain tumor-like protein 3(LOC408319)	NA	NA	0.01	NA
NC_037648.1	14803729	14807137	Gnomon	LOC724685	GB45247	protein_coding	protein-L-isoaspartate O-methyltransferase domain-containing protein 1-like(LOC724685)	NA	NA	0.01	NA
NC_037648.1	14804283	14804812	Gnomon	LOC113219067	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14807227	14821153	Gnomon	LOC410154	GB45248	protein_coding	uncharacterized LOC410154(LOC410154)	NA	NA	0.01	NA
NC_037648.1	14813422	14814349	Gnomon	LOC102655371	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	14814381	14815565	Gnomon	LOC724756	NA	protein_coding	NA	NA	NA	0.01	NA
NC_037648.1	14822083	14830891	Gnomon	LOC551424	GB44910	protein_coding	nuclear receptor-binding protein homolog(LOC551424)	NA	NA	0.01	NA
NC_037648.1	14831017	14832401	Gnomon	LOC724842	GB45249	protein_coding	elongator complex protein 5(LOC724842)	NA	NA	0.01	NA
NC_037648.1	14833003	14836452	Gnomon	LOC724877	GB44909	protein_coding	integral membrane protein GPR155(LOC724877)	NA	NA	0.01	NA
NC_037648.1	14840590	14842246	Gnomon	LOC409595	GB45250	protein_coding	uncharacterized LOC409595(LOC409595)	NA	NA	0.01	NA
NC_037648.1	14843231	14847733	Gnomon	LOC409877	GB44907	protein_coding	myeloid leukemia factor(LOC409877)	NA	NA	0.01	NA
NC_037648.1	14849352	14851124	Gnomon	LOC552769	GB45251	protein_coding	ubiA prenyltransferase domain-containing protein 1 homolog(LOC552769)	NA	NA	0.01	NA
NC_037648.1	14852407	14853466	Gnomon	LOC100577344	GB45252	protein_coding	gametocyte-specific factor 1-like(LOC100577344)	NA	NA	0.01	NA
NC_037648.1	14854454	14860051	Gnomon	LOC412219	GB44906	protein_coding	ubiquitin conjugation factor E4 B(LOC412219)	NA	NA	0.01	NA
NC_037648.1	14860821	14862036	Gnomon	LOC727234	GB45253	protein_coding	cytidine deaminase-like(LOC727234)	NA	NA	0.01	NA
NC_037648.1	14862030	14870779	Gnomon	LOC409393	GB44905	protein_coding	serine/threonine-protein kinase mTOR(LOC409393)	NA	NA	0.01	NA
NC_037648.1	14871557	14874111	Gnomon	LOC552744	GB45254	protein_coding	ATP-binding cassette sub-family B member 10, mitochondrial(LOC552744)	NA	NA	0.01	NA
NC_037648.1	14874983	14877765	Gnomon	LOC727222	GB44904	protein_coding	serine/threonine-protein phosphatase 4 regulatory subunit 2(LOC727222)	NA	NA	0.01	NA
NC_037648.1	14880278	14881661	Gnomon	LOC551313	GB44903	protein_coding	calcineurin subunit B type 2(LOC551313)	NA	NA	0.01	NA
NC_037648.1	14882102	14883610	Gnomon	LOC552733	GB45255	protein_coding	aurora kinase B(LOC552733)	NA	NA	0.01	NA
NC_037648.1	14883658	14886164	Gnomon	LOC411505	GB44902	protein_coding	putative tRNA pseudouridine synthase Pus10(LOC411505)	NA	NA	0.01	NA
NC_037648.1	14885849	14888650	Gnomon	LOC409491	GB45256	protein_coding	transmembrane protein 183B(LOC409491)	NA	NA	0.01	NA
NC_037648.1	14888467	14892744	Gnomon	LOC552714	GB44901	protein_coding	conserved oligomeric Golgi complex subunit 2(LOC552714)	NA	NA	0.01	NA
NC_037648.1	14893058	14895269	Gnomon	LOC413822	GB45257	protein_coding	ubiquitin-conjugating enzyme E2 L3(LOC413822)	NA	NA	0.01	NA
NC_037648.1	14895427	14902815	Gnomon	LOC552700	GB44900	protein_coding	cullin-3(LOC552700)	NA	NA	0.01	NA
NC_037648.1	14903045	14905875	Gnomon	LOC551276	GB45258	protein_coding	isocitrate dehydrogenase [NADP] cytoplasmic(LOC551276)	NA	NA	0.01	NA
NC_037648.1	14909380	14917608	Gnomon	LOC410108	GB45259	protein_coding	zinc finger protein 91-like(LOC410108)	NA	NA	0.01	NA
NC_037648.1	14918599	14933522	Gnomon	LOC727221	GB45260	protein_coding	vacuolar protein sorting-associated protein 13A(LOC727221)	NA	NA	0.01	NA
NC_037648.1	14935633	14950154	Gnomon	LOC412046	GB44899	protein_coding	trithorax group protein osa(LOC412046)	NA	NA	0.01	NA
NC_037648.1	14951259	14953755	Gnomon	LOC409329	GB45261	protein_coding	mannose-1-phosphate guanyltransferase beta(LOC409329)	NA	NA	0.01	NA
NC_037648.1	14953511	14956354	Gnomon	LOC100576647	GB44898	protein_coding	separin(LOC100576647)	NA	NA	0.01	NA
NC_037648.1	14957093	14959317	Gnomon	LOC551964	GB44897	protein_coding	UDP-N-acetylhexosamine pyrophosphorylase(LOC551964)	NA	NA	0.01	NA
NC_037648.1	14960206	14964371	Gnomon	LOC107965281	NA	protein_coding	NA	NA	NA	0.01	NA
NC_037648.1	14965677	14970934	Gnomon	LOC725781	GB44896	protein_coding	syndetin(LOC725781)	NA	NA	0.01	NA
NC_037648.1	14971020	14974836	Gnomon	LOC409241	GB45263	protein_coding	prohormone-4(LOC409241)	NA	NA	0.01	NA
NC_037648.1	14978394	14980464	Gnomon	LOC411861	GB44895	protein_coding	NF-kappa-B-repressing factor(LOC411861)	NA	NA	0.01	NA
NC_037648.1	14981222	14982597	Gnomon	LOC411862	GB45264	protein_coding	28S ribosomal protein S2, mitochondrial(LOC411862)	NA	NA	0.01	NA
NC_037648.1	14982741	14984667	Gnomon	LOC411863	GB44894	protein_coding	dehydrogenase/reductase SDR family member 7(LOC411863)	NA	NA	0.01	NA
NC_037648.1	14985660	14989450	Gnomon	LOC409636	GB44893	protein_coding	uncharacterized LOC409636(LOC409636)	NA	NA	0.01	NA
NC_037648.1	14987438	14995739	Gnomon	LOC409634	GB45265	protein_coding	uncharacterized LOC409634(LOC409634)	NA	NA	0.01	NA
NC_037648.1	14996215	14996646	Gnomon	LOC102653856	NA	protein_coding	NA	NA	NA	0.01	NA
NC_037648.1	14996871	15002814	Gnomon	LOC100576717	GB45266	protein_coding	restin homolog(LOC100576717)	NA	NA	0.01	NA
NC_037648.1	15003329	15005477	Gnomon	LOC551467	GB15087	protein_coding	syntaxin-18(LOC551467)	NA	NA	0.01	NA
NC_037648.1	15005806	15007568	Gnomon	LOC107965192	NA	protein_coding	NA	NA	NA	0.01	NA
NC_037648.1	15007615	15012231	Gnomon	LOC409838	GB45270	protein_coding	poly(A) RNA polymerase gld-2 homolog A(LOC409838)	NA	NA	0.01	NA
NC_037648.1	15013529	15020286	Gnomon	LOC409839	GB44890	protein_coding	regulator of nonsense transcripts 1(LOC409839)	NA	NA	0.01	NA
NC_037648.1	15021465	15033468	Gnomon	LOC413259	GB44889	protein_coding	neurogenic protein big brain(LOC413259)	NA	NA	0.01	NA
NC_037648.1	15023818	15031633	Gnomon	LOC100578596	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	15035374	15039748	Gnomon	LOC413260	GB45272	protein_coding	neuroligin-4, Y-linked(LOC413260)	NA	NA	0.01	NA
NC_037648.1	15040443	15044438	Gnomon	LOC725288	GB45273	protein_coding	uncharacterized LOC725288(LOC725288)	NA	NA	0.01	NA
NC_037648.1	15041572	15042756	Gnomon	LOC113219124	NA	protein_coding	NA	NA	NA	0.01	NA
NC_037648.1	15043989	15048642	Gnomon	LOC725245	GB44888	protein_coding	protein eiger-like(LOC725245)	NA	NA	0.01	NA
NC_037648.1	15048857	15050388	Gnomon	LOC102654948	NA	lncRNA	NA	NA	NA	0.01	NA
NC_037648.1	15051247	15054332	Gnomon	LOC100578745	GB45274	protein_coding	uncharacterized LOC100578745(LOC100578745)	NA	NA	0.01	NA
NC_037648.1	15055022	15061629	Gnomon	LOC551146	GB44886	protein_coding	glycine-rich protein DOT1(LOC551146)	NA	NA	0.01	NA
NC_037648.1	15061993	15066692	Gnomon	LOC413261	GB45275	protein_coding	serine/threonine-protein kinase polo(LOC413261)	NA	NA	0.01	NA
NC_037648.1	15067325	15077540	Gnomon	LOC551061	GB45277	protein_coding	multidrug resistance-associated protein 4-like(LOC551061)	NA	NA	0.01	NA
NC_037648.1	15078746	15085466	Gnomon	LOC725051	GB45278	protein_coding	multidrug resistance-associated protein 4-like(LOC725051)	NA	NA	0.01	NA
NC_037648.1	15088530	15094015	Gnomon	LOC550984	GB44885	protein_coding	uncharacterized LOC550984(LOC550984)	NA	NA	0.01	NA
NC_037648.1	15094306	15102991	Gnomon	LOC550935	GB44884	protein_coding	splicing factor 3B subunit 3(LOC550935)	NA	NA	0.01	NA
NC_037648.1	15103652	15105085	Gnomon	LOC725822	GB45279	protein_coding	RING finger protein PFF0165c(LOC725822)	NA	NA	0.01	NA
NC_037648.1	15106087	15108696	Gnomon	LOC412409	GB45280	protein_coding	mitochondrial import inner membrane translocase subunit TIM44(LOC412409)	NA	NA	0.01	NA
NC_037648.1	15110052	15124106	Gnomon	LOC409099	GB45281	protein_coding	E3 ubiquitin-protein ligase UBR5(LOC409099)	NA	NA	0.01	NA
NC_037648.1	15124233	15127597	Gnomon	LOC411553	GB44883	protein_coding	protein bunched, class 2/F/G isoform(LOC411553)	NA	NA	0.01	NA
NC_037648.1	15127887	15130817	Gnomon	LOC411554	GB45282	protein_coding	Williams-Beuren syndrome chromosomal region 16 protein homolog(LOC411554)	NA	NA	0.01	NA
NC_037648.1	15130921	15135170	Gnomon	LOC552843	GB44882	protein_coding	uncharacterized LOC552843(LOC552843)	NA	NA	0.01	NA
NC_037648.1	15135087	15144685	Gnomon	LOC411735	GB44881	protein_coding	nuclear pore complex protein Nup133(LOC411735)	NA	NA	0.01	NA
NC_037648.1	15135606	15139098	Gnomon	LOC725984	GB45283	protein_coding	uncharacterized LOC725984(LOC725984)	NA	NA	0.01	NA
NC_037648.1	15144846	15150064	Gnomon	LOC411734	GB45284	protein_coding	valine--tRNA ligase(LOC411734)	NA	NA	0.01	NA
NC_037648.1	15149180	15156320	Gnomon	LOC409184	GB44880	protein_coding	DENN domain-containing protein 1B(LOC409184)	NA	NA	0.01	NA
NC_037648.1	15156647	15158032	Gnomon	LOC413145	GB45285	protein_coding	eukaryotic translation initiation factor 3 subunit F(LOC413145)	NA	NA	0.01	NA
NC_037648.1	15158015	15159869	Gnomon	LOC413144	GB44879	protein_coding	actin related protein 11(LOC413144)	NA	NA	0.01	NA
NC_037648.1	15160221	15161358	Gnomon	LOC552838	GB44878	protein_coding	26S proteasome non-ATPase regulatory subunit 8(LOC552838)	NA	NA	0.01	NA
NC_037648.1	15161835	15164846	Gnomon	LOC551211	GB45286	protein_coding	elongation factor 1-gamma(LOC551211)	NA	NA	0.01	NA
NC_037648.1	15164642	15166563	Gnomon	LOC726151	GB44877	protein_coding	probable 39S ribosomal protein L49, mitochondrial(LOC726151)	NA	NA	0.01	NA
NC_037648.1	15166504	15176188	Gnomon	LOC102655980	NA	protein_coding	NA	NA	NA	0.01	NA
NC_037648.1	15183029	15238397	Gnomon	LOC100576421	GB44876	protein_coding	uncharacterized LOC100576421(LOC100576421)	NA	NA	0.01	NA
NC_037648.1	15226470	15227882	Gnomon	LOC102656667	NA	lncRNA	NA	NA	NA	0.1	NA
NC_037648.1	15244172	15245244	Gnomon	LOC552835	GB45288	protein_coding	glutaredoxin-related protein 5, mitochondrial(LOC552835)	NA	NA	0.1	NA
NC_037648.1	15246317	15253419	Gnomon	LOC102653972	NA	lncRNA	NA	NA	NA	0.1	NA
NC_037649.1	9315780	9622683	Gnomon	LOC724243	GB17084	protein_coding	fasciclin-3(LOC724243)	NA	NA	0.05	NA
NC_037649.1	10759853	10829510	Gnomon	LOC410398	GB52056	protein_coding	insulin-like growth factor 2 mRNA-binding protein 1(LOC410398)	NA	NA	0.05	NA
NC_037638.1	9939688	10184432	Gnomon	LOC412813	GB44821	protein_coding	neuronal growth regulator 1(LOC412813)	0.1	0.1	NA	NA
NC_037638.1	10586147	10593355	Gnomon	LOC113219406	NA	protein_coding	NA	0.01	0.1	NA	NA
NC_037638.1	10613675	10629474	Gnomon	LOC725683	GB45860	protein_coding	uncharacterized LOC725683(LOC725683)	0.01	0.05	NA	NA
NC_037638.1	10621697	10625708	Gnomon	LOC100578568	GB45845	lncRNA	uncharacterized LOC100578568(LOC100578568)	0.01	0.05	NA	NA
NC_037638.1	10629635	10630802	Gnomon	LOC102654014	NA	protein_coding	NA	0.01	0.05	NA	NA
NC_037638.1	10630701	10631532	Gnomon	LOC725747	GB45843	protein_coding	SNAPIN protein homolog(LOC725747)	0.01	0.05	NA	NA
NC_037638.1	10648728	10711893	Gnomon	LOC725776	GB45841	protein_coding	early growth response protein 1-like(LOC725776)	0.01	0.05	NA	NA
NC_037638.1	10733613	10736662	Gnomon	LOC410116	GB45837	protein_coding	transcription factor 25(LOC410116)	0.01	0.1	NA	NA
NC_037638.1	10736589	10738626	Gnomon	LOC102654555	NA	protein_coding	NA	0.01	0.1	NA	NA
NC_037638.1	10738509	10742586	Gnomon	LOC102654510	GB45836	protein_coding	blown fuse(blow)	0.01	0.1	NA	NA
NC_037638.1	10742429	10745214	Gnomon	LOC100578735	GB45834	protein_coding	pyruvate dehydrogenase E1 component subunit alpha, mitochondrial-like(LOC100578735)	0.01	0.1	NA	NA
NC_037638.1	10910087	10922395	Gnomon	LOC413759	GB45815	protein_coding	SCY1-like protein 2(LOC413759)	0.01	0.01	NA	NA
NC_037638.1	10923263	10927480	Gnomon	LOC406118	GB16891	protein_coding	DDB1- and CUL4-associated factor 11(LOC406118)	0.01	0.01	NA	NA
