phenotype	QTL_name	marker	comments	LG	scaffold	start	end	citation	positions_from	alternative_notation
Varroa sensitive hygiene	unnamed_VSH1	1_18786427	LOD-1.5 support interval	Group1	NC_037638.1	17466985	17467105	Tsuruda et al. 2012	Probe sequences from Tsuruda et al. 2012 (Table S3) mapped to HAv3.1 with BLASTn	NA
Varroa sensitive hygiene	unnamed_VSH1	1_19029230	LOD-1.5 support interval	Group1	NC_037638.1	17679394	17679514	Tsuruda et al. 2012	Probe sequences from Tsuruda et al. 2012 (Table S3) mapped to HAv3.1 with BLASTn	NA
Varroa sensitive hygiene	unnamed_VSH1	1_19187323	LOD-1.5 support interval	Group1	NC_037638.1	17837448	17837568	Tsuruda et al. 2012	Probe sequences from Tsuruda et al. 2012 (Table S3) mapped to HAv3.1 with BLASTn	NA
Varroa sensitive hygiene	unnamed_VSH1	1_19282063	LOD-1.5 support interval	Group1	NC_037638.1	17920459	17920576	Tsuruda et al. 2012	Probe sequences from Tsuruda et al. 2012 (Table S3) mapped to HAv3.1 with BLASTn	NA
Varroa sensitive hygiene	unnamed_VSH2	9_8718994	LOD-1.5 support interval	Group9	NC_037646.1	10073102	10073222	Tsuruda et al. 2012	Probe sequences from Tsuruda et al. 2012 (Table S3) mapped to HAv3.1 with BLASTn	NA
Varroa sensitive hygiene	unnamed_VSH2	9_8801678	LOD-1.5 support interval	Group9	NC_037646.1	10154386	10154506	Tsuruda et al. 2012	Probe sequences from Tsuruda et al. 2012 (Table S3) mapped to HAv3.1 with BLASTn	NA
Varroa sensitive hygiene	unnamed_VSH2	9_8940824	LOD-1.5 support interval	Group9	NC_037646.1	10294624	10294744	Tsuruda et al. 2012	Probe sequences from Tsuruda et al. 2012 (Table S3) mapped to HAv3.1 with BLASTn	NA
Varroa sensitive hygiene	unnamed_VSH2	9_9106400	LOD-1.5 support interval	Group9	NC_037646.1	10461726	10461846	Tsuruda et al. 2012	Probe sequences from Tsuruda et al. 2012 (Table S3) mapped to HAv3.1 with BLASTn	NA
Varroa sensitive hygiene	unnamed_VSH2	9_9224292	LOD-1.5 support interval; marker closest to peak	Group9	NC_037646.1	10524603	10524723	Tsuruda et al. 2012	Probe sequences from Tsuruda et al. 2012 (Table S3) mapped to HAv3.1 with BLASTn	NA
Varroa sensitive hygiene	unnamed_VSH2	9_9327425	LOD-1.5 support interval	Group9	NC_037646.1	10629363	10629483	Tsuruda et al. 2012	Probe sequences from Tsuruda et al. 2012 (Table S3) mapped to HAv3.1 with BLASTn	NA
Varroa sensitive hygiene	unnamed_VSH2	9_9455543	LOD-1.5 support interval	Group9	NC_037646.1	10758800	10758920	Tsuruda et al. 2012	Probe sequences from Tsuruda et al. 2012 (Table S3) mapped to HAv3.1 with BLASTn	NA
Varroa sensitive hygiene	unnamed_VSH2	9_9569008	LOD-1.5 support interval	Group9	NC_037646.1	10872507	10872627	Tsuruda et al. 2012	Probe sequences from Tsuruda et al. 2012 (Table S3) mapped to HAv3.1 with BLASTn	NA
Varroa sensitive hygiene	unnamed_VSH2	9_9774498	LOD-1.5 support interval	Group9	NC_037646.1	11076977	11077097	Tsuruda et al. 2012	Probe sequences from Tsuruda et al. 2012 (Table S3) mapped to HAv3.1 with BLASTn	NA
Varroa Sensitive Hygiene	unnamed_hygeine1	NA	Amel3 mapping interval (Table 1 Spoetter et al. 2012) LG1:3039231-8453574	Group1	NC_037638.1	3043773	8745184	Spoetter et al. 2012	SNPs within QTL mapping interval from 44K SNP chip published in Spoetter et al. 2012 (Supplement, left flanking sequences) mapped to HAv3.1 with BLASTn	NA
Varroa Sensitive Hygiene	unnamed_hygeine2	NA	Amel3 mapping interval (Table 1 Spoetter et al. 2012) LG1:9418717-16819942	Group1	NC_037638.1	9833841	18792052	Spoetter et al. 2012	SNPs within QTL mapping interval from 44K SNP chip published in Spoetter et al. 2012 (Supplement, left flanking sequences) mapped to HAv3.1 with BLASTn	NA
Varroa Sensitive Hygiene	unnamed_hygeine3	NA	Amel3 mapping interval (Table 1 Spoetter et al. 2012) LG2:1-12503099	Group2	NC_037639.1	4414014	16074358	Spoetter et al. 2012	SNPs within QTL mapping interval from 44K SNP chip published in Spoetter et al. 2012 (Supplement, left flanking sequences) mapped to HAv3.1 with BLASTn	NA
Varroa Sensitive Hygiene	unnamed_hygeine4	NA	Amel3 mapping interval (Table 1 Spoetter et al. 2012) LG6:11206828-17739083	Group6	NC_037643.1	12482984	17779332	Spoetter et al. 2012	SNPs within QTL mapping interval from 44K SNP chip published in Spoetter et al. 2012 (Supplement, left flanking sequences) mapped to HAv3.1 with BLASTn	NA
Varroa Sensitive Hygiene	unnamed_hygeine5	NA	Amel3 mapping interval (Table 1 Spoetter et al. 2012) LG7:9515998-12848973	Group7	NC_037644.1	563759	982365	Spoetter et al. 2012	SNPs within QTL mapping interval from 44K SNP chip published in Spoetter et al. 2012 (Supplement, left flanking sequences) mapped to HAv3.1 with BLASTn	NA
Varroa Sensitive Hygiene	unnamed_hygeine6	NA	Amel3 mapping interval (Table 1 Spoetter et al. 2012) LG12:1-4003353	Group12	NC_037649.1	5350	5836450	Spoetter et al. 2012	SNPs within QTL mapping interval from 44K SNP chip published in Spoetter et al. 2012 (Supplement, left flanking sequences) mapped to HAv3.1 with BLASTn	NA
Varroa Sensitive Hygiene	unnamed_hygeine7	NA	Amel3 mapping interval (Table 1 Spoetter et al. 2012) LG13:5247545-10266737	Group13	NC_037650.1	7650766	10970793	Spoetter et al. 2012	SNPs within QTL mapping interval from 44K SNP chip published in Spoetter et al. 2012 (Supplement, left flanking sequences) mapped to HAv3.1 with BLASTn	NA
Varroa Sensitive Hygiene	unnamed_hygeine8	NA	Amel3 mapping interval (Table 1 Spoetter et al. 2012) LG15:1-6643609	Group15	NC_037652.1	3260790	9310167	Spoetter et al. 2012	SNPs within QTL mapping interval from 44K SNP chip published in Spoetter et al. 2012 (Supplement, left flanking sequences) mapped to HAv3.1 with BLASTn	NA
Varroa Sensitive Hygiene	unnamed_hygeine9	NA	Amel3 mapping interval (Table 1 Spoetter et al. 2012) LG16:3196393-6242592	Group16	NC_037653.1	974183	4154497	Spoetter et al. 2012	SNPs within QTL mapping interval from 44K SNP chip published in Spoetter et al. 2012 (Supplement, left flanking sequences) mapped to HAv3.1 with BLASTn	NA
Hygienic behaviour	Hyg1	K0263	Nearest marker	Group2	NC_037639.1	15069205	15069519	Oxley et al. 2010	P1 and P2 probe sequences published in Solignac et al. 2007 (Table S2) mapped to HAv3.1 with BLASTn	NA
Hygienic behaviour	Hyg2	A058	Nearest marker	Group5	NC_037642.1	10085136	10085228	Oxley et al. 2010	P1 and P2 probe sequences published in Solignac et al. 2007 (Table S2) mapped to HAv3.1 with BLASTn	NA
Hygienic behaviour	Hyg3	K1601	Nearest marker	Group16	NC_037653.1	995283	995459	Oxley et al. 2010	P1 and P2 probe sequences published in Solignac et al. 2007 (Table S2) mapped to HAv3.1 with BLASTn	NA
Grooming	unnamed_grooming1	5_1050004	LOD-1.5 support interval	Group5	NC_037642.1	1633108	1633228	Arechavaleta-Velasco et al. 2012	Probe sequences from Arechavaleta-Velasco et al. 2012 (Table S1) mapped to HAv3.1 with BLASTn	NA
Grooming	unnamed_grooming1	5_1256625	LOD-1.5 support interval	Group5	NC_037642.1	1834572	1834692	Arechavaleta-Velasco et al. 2012	Probe sequences from Arechavaleta-Velasco et al. 2012 (Table S1) mapped to HAv3.1 with BLASTn	NA
Grooming	unnamed_grooming1	5_1320383	LOD-1.5 support interval	Group5	NC_037642.1	1897663	1897783	Arechavaleta-Velasco et al. 2012	Probe sequences from Arechavaleta-Velasco et al. 2012 (Table S1) mapped to HAv3.1 with BLASTn	NA
Grooming	unnamed_grooming1	5_1544300	LOD-1.5 support interval	Group5	NC_037642.1	2070928	2071048	Arechavaleta-Velasco et al. 2012	Probe sequences from Arechavaleta-Velasco et al. 2012 (Table S1) mapped to HAv3.1 with BLASTn	NA
Grooming	unnamed_grooming1	5_1644271	LOD-1.5 support interval; marker closest to peak	Group5	NC_037642.1	2170849	2170969	Arechavaleta-Velasco et al. 2012	Probe sequences from Arechavaleta-Velasco et al. 2012 (Table S1) mapped to HAv3.1 with BLASTn	NA
Grooming	unnamed_grooming1	5_1868365	LOD-1.5 support interval	Group5	NC_037642.1	2388477	2388597	Arechavaleta-Velasco et al. 2012	Probe sequences from Arechavaleta-Velasco et al. 2012 (Table S1) mapped to HAv3.1 with BLASTn	NA
Grooming	unnamed_grooming1	5_253573	LOD-1.5 support interval	Group5	NC_037642.1	844149	844029	Arechavaleta-Velasco et al. 2012	Probe sequences from Arechavaleta-Velasco et al. 2012 (Table S1) mapped to HAv3.1 with BLASTn	NA
Grooming	unnamed_grooming1	5_413557	LOD-1.5 support interval	Group5	NC_037642.1	1063073	1063193	Arechavaleta-Velasco et al. 2012	Probe sequences from Arechavaleta-Velasco et al. 2012 (Table S1) mapped to HAv3.1 with BLASTn	NA
Grooming	unnamed_grooming1	5_8439	LOD-1.5 support interval	Group5	NC_037642.1	702236	702356	Arechavaleta-Velasco et al. 2012	Probe sequences from Arechavaleta-Velasco et al. 2012 (Table S1) mapped to HAv3.1 with BLASTn	NA
